date,P,T,ET,ONI,Q_obs
2010-01-01,4.21,13.39,2.05,1.67,3.56
2010-01-02,6.12,13.74,1.78,1.67,5.51
2010-01-03,1.03,15.52,2.66,1.67,2.7
2010-01-04,4.02,16.33,2.1,1.67,4.87
2010-01-05,1.07,15.77,2.38,1.67,1.89
2010-01-06,1.55,16.22,2.29,1.67,3.98
2010-01-07,2.8,15.68,2.17,1.67,2.73
2010-01-08,2.25,15.47,2.32,1.67,2.66
2010-01-09,5.28,14.69,2.66,1.67,4.44
2010-01-10,4.0,16.3,2.99,1.67,4.08
2010-01-11,15.74,16.59,2.96,1.67,8.19
2010-01-12,4.32,15.31,2.53,1.67,4.83
2010-01-13,1.13,15.28,2.29,1.67,2.78
2010-01-14,3.83,17.37,1.76,1.67,4.0
2010-01-15,1.47,15.46,2.57,1.67,2.96
2010-01-16,1.93,15.61,1.53,1.67,3.11
2010-01-17,1.12,16.14,1.75,1.67,1.98
2010-01-18,1.27,15.47,2.36,1.67,2.76
2010-01-19,1.83,14.64,2.4,1.67,2.82
2010-01-20,3.36,16.11,2.34,1.67,3.95
2010-01-21,5.46,15.64,3.06,1.67,3.42
2010-01-22,1.69,17.94,2.98,1.67,2.34
2010-01-23,3.21,16.71,2.51,1.67,3.85
2010-01-24,4.54,15.08,2.92,1.67,3.8
2010-01-25,3.45,16.7,3.23,1.67,3.46
2010-01-26,1.96,16.23,2.74,1.67,2.9
2010-01-27,1.21,17.47,2.41,1.67,2.59
2010-01-28,3.13,15.3,2.18,1.67,3.97
2010-01-29,2.45,16.19,1.95,1.67,2.87
2010-01-30,2.88,15.88,2.47,1.67,2.35
2010-01-31,2.43,16.1,2.1,1.67,3.05
2010-02-01,1.18,15.01,2.22,1.74,1.9
2010-02-02,1.37,16.79,2.72,1.74,2.02
2010-02-03,6.15,16.64,1.8,1.74,4.19
2010-02-04,1.22,17.71,2.25,1.74,1.73
2010-02-05,1.56,16.19,2.33,1.74,1.92
2010-02-06,2.49,15.75,2.44,1.74,2.68
2010-02-07,3.2,17.22,2.49,1.74,2.4
2010-02-08,5.21,15.36,2.3,1.74,3.96
2010-02-09,1.27,17.64,2.46,1.74,1.51
2010-02-10,3.8,17.68,2.17,1.74,2.46
2010-02-11,1.39,17.92,2.57,1.74,2.93
2010-02-12,1.39,16.9,2.55,1.74,1.15
2010-02-13,2.11,15.89,2.36,1.74,2.14
2010-02-14,1.69,16.64,2.64,1.74,2.82
2010-02-15,1.39,17.0,2.82,1.74,1.69
2010-02-16,8.64,15.9,2.76,1.74,5.09
2010-02-17,1.65,18.21,2.58,1.74,2.3
2010-02-18,4.67,17.34,2.07,1.74,3.17
2010-02-19,2.2,15.6,2.95,1.74,2.05
2010-02-20,1.44,18.97,3.1,1.74,0.73
2010-02-21,1.8,16.86,2.25,1.74,1.82
2010-02-22,1.56,15.46,2.53,1.74,1.91
2010-02-23,4.44,15.81,2.9,1.74,2.88
2010-02-24,2.87,18.62,3.58,1.74,3.31
2010-02-25,1.51,19.06,3.06,1.74,1.78
2010-02-26,1.5,18.11,3.24,1.74,1.89
2010-02-27,1.94,18.51,2.39,1.74,2.38
2010-02-28,1.57,18.42,2.85,1.74,1.8
2010-03-01,1.66,17.66,2.61,1.19,1.53
2010-03-02,2.94,17.41,2.85,1.19,2.0
2010-03-03,13.75,17.69,3.4,1.19,6.42
2010-03-04,4.95,17.96,2.89,1.19,3.51
2010-03-05,2.55,16.21,2.16,1.19,2.38
2010-03-06,11.13,18.01,2.3,1.19,6.44
2010-03-07,2.53,18.91,3.6,1.19,1.92
2010-03-08,2.09,16.94,2.85,1.19,2.41
2010-03-09,5.9,16.84,2.81,1.19,4.71
2010-03-10,1.76,17.82,2.63,1.19,2.16
2010-03-11,1.75,16.49,2.68,1.19,3.11
